chromosome	MSE	SSIM	PSNR
chr1	0.0002363357817370281	0.8796064264643266	36.26470336525192
chr2	0.00037219201300135106	0.8842760562166739	34.292328340969334
chr3	0.0003911778724429462	0.8826384829353099	34.076256086794785
chr4	0.00045078735456862345	0.8890774871030932	33.46028178889094
chr5	0.00036073834794074527	0.8838793513474033	34.42807567582822
chr6	0.00029571218519807145	0.8748189717008319	35.2913063258277
chr7	0.0002803843453497783	0.8769843848600886	35.522460830239766
chr8	0.0003619523637968438	0.8868163835423057	34.41348462799224
chr10	0.0003190691806345242	0.8848797184560496	34.96115006815978
chr11	0.00031211743804814647	0.8814338947098354	35.05681827414331
chr12	0.0003339135580498067	0.8840786179407526	34.763658166618534
chr13	0.00039291292386104185	0.9025588241252062	34.057035754202126
chr14	0.0004051247826153029	0.9027084289427088	33.92411081796287
chr15	0.00022370066039334116	0.8972189398492276	36.503325396670235
chr16	0.0002484934560127763	0.8887167091746796	36.04684869000585
chr17	0.00028749513420215576	0.8839122186046197	35.41369350198214
chr18	0.0004311648759142199	0.8880373986153862	33.65356524688123
chr19	0.0002690131538102834	0.8816923397813825	35.70226322544534
chr20	0.0002807216084618482	0.8848125962075017	35.517240016845875
chr21	0.000263880178968913	0.897208087033645	35.785930654639685
chr22	0.00024373745906404828	0.8907940942734726	36.130775424713654
chrX	0.0005977315768569553	0.8809023209067117	32.234937280718825
average	0.0003344707386785796	0.8866841696723278	34.88637498003566
standard error	1.8825361437669775e-05	0.001599010042463135	0.22706027497116207
