chromosome	MSE	SSIM	PSNR
chr1	0.00022768765857736234	0.8873428880432702	36.4266031820003
chr2	0.0003216406140492992	0.8938204135472857	34.926289824117966
chr3	0.00034115152951240955	0.8931592963072224	34.670525499694264
chr4	0.0004052731309837545	0.9000917746417881	33.922520812323505
chr5	0.00031809391769881373	0.8938736433490293	34.97444498465176
chr6	0.0002694976560103116	0.8841942799945256	35.694448466419786
chr7	0.000257812129064339	0.8857407070718467	35.88696486171142
chr8	0.0003135913406516934	0.8967456176594524	35.03635799713584
chr10	0.00028260338059825276	0.8938276478618497	35.48822493601026
chr11	0.00028007816260826183	0.8911419953602284	35.52720596266107
chr12	0.0002971397246792695	0.8939185475536799	35.27039137225755
chr13	0.00033894426436332495	0.9122416247468871	34.698715827200424
chr14	0.0003467303823000659	0.9116224630781572	34.600079763049976
chr15	0.0002080434109529304	0.9041647642540691	36.81845825659474
chr16	0.00023978170073742352	0.8953729217556841	36.201837826185375
chr17	0.00028271264138272255	0.8921007490270075	35.48654618155287
chr18	0.00038155139181919915	0.8982149451504851	34.184468440684356
chr19	0.0002626082747719422	0.8898670867911097	35.80691428059008
chr20	0.0002619592094791019	0.8933141997122382	35.81766163035613
chr21	0.00024848686463744966	0.9041796613498436	36.046963889608804
chr22	0.00023916282226853919	0.895703369634715	36.213061486899726
chrX	0.00034097617737741386	0.9095044610556028	34.67275834973681
average	0.00029388756293290363	0.8963701389975447	35.3805201741565
standard error	1.09299735438472e-05	0.0016599832414446126	0.16037803436542586
